id,type,country_sym,country_long,odometer_km,damage_count,00_abv_120,01_110to120degC,02_100to110degC,03_90to100degC,04_80to90degC,05_70to80degC,06_60to70degC,07_50to60degC,08_40to50degC,09_30to40degC,10_20to30degC,11_10to20degC,12_0to10degC,13_-10to0degC,14_-20to-10degC,15_-30to-20degC,16_-40to-30degC,17_lessThan-40degC
57,ICE,IN,India,293138,2638242,0,0,1,297,17937,398168,3251511,9768079,10795397,4389080,656468,36121,731,5,0,0,0,0
58,ICE,IN,India,94934,474670,0,0,0,96,5809,128948,1053015,3163434,3496135,1421422,212600,11697,236,1,0,0,0,0
59,ICE,IN,India,7487,52409,0,0,0,7,458,10169,83046,249485,275723,112100,16766,922,18,0,0,0,0,0
60,ICE,IN,India,46227,184908,0,0,0,46,2828,62789,512753,1540397,1702402,692145,103523,5696,115,0,0,0,0,0
61,ICE,IN,India,82310,329240,0,0,0,83,5036,111801,912989,2742771,3031231,1232406,184329,10142,205,1,0,0,0,0
62,ICE,IN,India,888,7992,0,0,0,0,54,1206,9849,29590,32702,13295,1988,109,2,0,0,0,0,0
63,ICE,IN,India,92283,276849,0,0,0,93,5646,125347,1023610,3075096,3398507,1381729,206663,11371,230,1,0,0,0,0
64,ICE,IN,India,76272,610176,0,0,0,77,4667,103600,846015,2541570,2808870,1142001,170807,9398,190,1,0,0,0,0
65,ICE,IN,India,30119,210833,0,0,0,30,1842,40910,334082,1003639,1109192,450964,67450,3711,75,0,0,0,0,0
66,ICE,IN,India,199932,1599456,0,0,1,202,12233,271567,2217662,6662226,7362898,2993531,447738,24636,498,3,0,0,0,0
67,ICE,IN,India,39955,279685,0,0,0,40,2444,54270,443184,1331398,1471423,598236,89477,4923,99,0,0,0,0,0
68,ICE,IN,India,102049,204098,0,0,0,103,6244,138612,1131936,3400523,3758159,1527953,228533,12574,254,1,0,0,0,0
69,ICE,IN,India,81197,162394,0,0,0,82,4968,110289,900643,2705683,2990243,1215742,181836,10005,202,1,0,0,0,0
70,ICE,IN,India,22284,44568,0,0,0,22,1363,30268,247175,742557,820653,333652,49903,2745,55,0,0,0,0,0
71,ICE,IN,India,19813,158504,0,0,0,20,1212,26911,219767,660217,729653,296655,44370,2441,49,0,0,0,0,0
72,ICE,IN,India,2469,7407,0,0,0,2,151,3353,27386,82273,90925,36967,5529,304,6,0,0,0,0,0
73,ICE,IN,India,200749,1003745,0,0,1,203,12283,272676,2226724,6689450,7392986,3005763,449567,24736,500,3,0,0,0,0
74,EM,DK,Denmark,15125,30250,0,0,0,0,0,0,0,2,430,21672,255638,706185,456871,69223,2456,20,0,0
75,ICE,DK,Denmark,94619,662333,0,0,0,0,60,4019,98601,889882,2954515,3608653,1621472,268027,16298,364,3,0,0,0
76,ICE,BZ,Brazil,42852,171408,0,0,0,0,27,1820,44655,403019,1338070,1634323,734348,121387,7381,165,1,0,0,0
77,ICE,BZ,Brazil,98095,588570,0,0,0,0,62,4166,102224,922574,3063054,3741223,1681040,277874,16897,378,3,0,0,0
78,ICE,BZ,Brazil,58591,468728,0,0,0,0,37,2488,61057,551042,1829527,2234589,1004065,165970,10092,225,1,0,0,0
79,ICE,BZ,Brazil,31913,223391,0,0,0,0,20,1355,33256,300138,996495,1217122,546888,90400,5497,122,1,0,0,0
80,ICE,BZ,Brazil,84037,336148,0,0,0,0,53,3569,87574,790360,2624088,3205068,1440130,238051,14475,323,2,0,0,0
81,ICE,PT,Portugal,58945,412615,0,0,0,59,3606,80064,653822,1964192,2170768,882568,132004,7263,147,1,0,0,0,0
82,ICE,PT,Portugal,8637,60459,0,0,0,8,528,11731,95802,287806,318074,129319,19342,1064,21,0,0,0,0,0
83,ICE,PT,Portugal,44338,310366,0,0,0,44,2713,60224,491800,1477451,1632836,663861,99292,5463,110,0,0,0,0,0
84,ICE,PT,Portugal,88442,795978,0,0,0,89,5411,120130,981006,2947105,3257054,1324219,198061,10897,220,1,0,0,0,0
85,ICE,SP,Spain,89026,801234,0,0,0,90,5447,120923,987483,2966565,3278561,1332963,199369,10969,222,1,0,0,0,0
86,ICE,SP,Spain,322633,1613165,0,0,1,327,19741,438231,3578672,10750925,11881610,4830702,722521,39755,804,5,0,0,0,0
87,ICE,SP,Spain,7145,28580,0,0,0,7,437,9705,79252,238088,263129,106980,16000,880,17,0,0,0,0,0
88,ICE,SP,Spain,80317,240951,0,0,0,81,4914,109094,890882,2676360,2957835,1202566,179866,9896,200,1,0,0,0,0
89,ICE,RU,Russia,97576,683032,0,0,0,0,0,38,2848,77235,770364,2826694,3815638,1894789,346146,23262,575,5,0,0
90,ICE,RU,Russia,28159,112636,0,0,0,0,0,11,822,22289,222315,815742,1101137,546808,99892,6713,165,1,0,0
91,ICE,RU,Russia,141638,708190,0,0,0,0,0,56,4135,112112,1118234,4103133,5538650,2750412,502455,33767,834,7,0,0
92,ICE,RU,Russia,38466,269262,0,0,0,0,0,15,1123,30447,303689,1114327,1504184,746956,136456,9170,226,2,0,0
93,ICE,RU,Russia,45732,91464,0,0,0,0,0,18,1335,36198,361054,1324817,1788316,888051,162232,10902,269,2,0,0
94,EM,RU,Russia,48426,435834,0,0,0,0,0,0,9,2869,153852,1460725,2455484,730820,38511,359,0,0,0,0
95,ICE,RU,Russia,33932,135728,0,0,0,0,0,13,990,26858,267893,982981,1326886,658912,120372,8089,200,1,0,0
96,ICE,RU,Russia,17192,34384,0,0,0,0,0,6,501,13608,135731,498037,672280,333844,60987,4098,101,0,0,0
97,ICE,RU,Russia,114904,574520,0,0,0,0,0,45,3354,90951,907168,3328671,4493236,2231275,407617,27394,677,6,0,0
98,ICE,RU,Russia,8341,50046,0,0,0,0,0,3,243,6602,65852,241631,326168,161970,29589,1988,49,0,0,0
99,ICE,RU,Russia,14,70,0,0,0,0,0,0,0,11,110,405,547,271,49,3,0,0,0,0
